#All parameters measured in inches,,,"712 = Livingston & Conroe, 812 = Houston",,
,,,712,,812
date,days in month,in/m,in/day,in/m,in/day
1/1/11,31,-1.4,-0.045,-1.31,-0.042
1/2/11,31,-1.4,-0.045,-1.31,-0.042
1/3/11,31,-1.4,-0.045,-1.31,-0.042
1/4/11,31,-1.4,-0.045,-1.31,-0.042
1/5/11,31,-1.4,-0.045,-1.31,-0.042
1/6/11,31,-1.4,-0.045,-1.31,-0.042
1/7/11,31,-1.4,-0.045,-1.31,-0.042
1/8/11,31,-1.4,-0.045,-1.31,-0.042
1/9/11,31,-1.4,-0.045,-1.31,-0.042
1/10/11,31,-1.4,-0.045,-1.31,-0.042
1/11/11,31,-1.4,-0.045,-1.31,-0.042
1/12/11,31,-1.4,-0.045,-1.31,-0.042
1/13/11,31,-1.4,-0.045,-1.31,-0.042
1/14/11,31,-1.4,-0.045,-1.31,-0.042
1/15/11,31,-1.4,-0.045,-1.31,-0.042
1/16/11,31,-1.4,-0.045,-1.31,-0.042
1/17/11,31,-1.4,-0.045,-1.31,-0.042
1/18/11,31,-1.4,-0.045,-1.31,-0.042
1/19/11,31,-1.4,-0.045,-1.31,-0.042
1/20/11,31,-1.4,-0.045,-1.31,-0.042
1/21/11,31,-1.4,-0.045,-1.31,-0.042
1/22/11,31,-1.4,-0.045,-1.31,-0.042
1/23/11,31,-1.4,-0.045,-1.31,-0.042
1/24/11,31,-1.4,-0.045,-1.31,-0.042
1/25/11,31,-1.4,-0.045,-1.31,-0.042
1/26/11,31,-1.4,-0.045,-1.31,-0.042
1/27/11,31,-1.4,-0.045,-1.31,-0.042
1/28/11,31,-1.4,-0.045,-1.31,-0.042
1/29/11,31,-1.4,-0.045,-1.31,-0.042
1/30/11,31,-1.4,-0.045,-1.31,-0.042
1/31/11,31,-1.4,-0.045,-1.31,-0.042
2/1/11,28,1.99,0.071,1.48,0.053
2/2/11,28,1.99,0.071,1.48,0.053
2/3/11,28,1.99,0.071,1.48,0.053
2/4/11,28,1.99,0.071,1.48,0.053
2/5/11,28,1.99,0.071,1.48,0.053
