,,MSL,acres,acre-ft,acre-ft
,,ADJ Lake level (MSL),surface_area,reservoir_storage,S.O. Flow
January,1,199.27,19774,395091,0
,2,199.26,19767,394892,0
,3,199.22,19740,394095,0
,4,199.21,19733,393895,0
,5,199.29,19787,395490,0
,6,199.29,19787,395490,0
,7,199.29,19787,395490,0
,8,199.29,19787,395490,0
,9,199.39,19855,397483,0
,10,199.42,19876,397881,0
,11,199.51,19937,399874,0
,12,199.42,19876,398081,0
,13,199.41,19869,397881,0
,14,199.39,19855,397483,0
,15,199.39,19855,397483,0
,16,199.41,19869,397881,0
,17,199.47,19910,399077,0
,18,199.47,19910,399077,0
,19,199.47,19910,399077,0
,20,199.47,19910,399077,0
,21,199.49,19923,399476,0
,22,199.47,19910,399077,0
,23,199.44,19889,398479,0
,24,199.47,19910,399077,0
,25,199.52,19944,400074,0
,26,199.51,19937,399874,0
,27,199.49,19923,399476,0
,28,199.49,19923,399476,0
,29,199.49,19910,399077,0
,30,199.47,19910,399077,0
,31,199.52,19944,400074,0
February,1,199.65,20040,402665,0
,2,199.6,19999,401668,0
,3,199.57,19978,401070,0
,4,199.54,19958,400472,0
,5,199.51,19937,399874,0
,6,199.51,19937,399874,0
,7,199.54,19958,400472,0
,8,199.49,19923,399476,0
,9,199.54,19958,400472,0
,10,199.52,19944,400074,0
,11,199.51,19937,399874,0
,12,199.51,19937,399874,0
,13,199.49,19923,399476,0
,14,199.47,19910,399077,0
,15,199.47,19910,399077,0
,16,199.47,19910,399077,0
,17,199.47,19910,399077,0
,18,199.49,19923,399476,0
,19,199.49,19923,399476,0
,20,199.49,19923,399476,0
,21,199.51,19937,399874,0
,22,199.52,19944,400074,0
,23,199.51,19937,399874,0
,24,199.51,19937,399874,0
,25,199.51,19937,399874,0
,26,199.52,19944,400074,0
,27,199.51,19937,399874,0
,28,199.52,19944,400074,0
March,1,199.52,19944,400074,0
,2,199.51,19937,399874,0
,3,199.51,19937,399874,0
,4,199.48,19916,399276,0
,5,199.74,20096,404458,0
,6,199.54,19958,400422,0
,7,199.5,19930,399675,0
,8,199.47,19910,399077,0
,9,199.54,19958,400472,0
,10,199.52,19944,400074,0
,11,199.47,19910,399077,0
,12,199.44,19889,398479,0
,13,199.44,19889,398479,0
,14,199.44,19889,398479,0
,15,199.54,19958,400472,0
,16,199.52,19944,400074,0
,17,199.51,19937,399874,0
,18,199.51,19937,399874,0
,19,199.51,19937,399874,0
,20,199.51,19937,399874,0
,21,199.49,19923,399476,0
,22,199.47,19910,399077,0
,23,199.47,19910,399077,0
,24,199.49,19923,399476,0
,25,199.46,19903,398878,0
,26,199.44,19889,398479,0
,27,199.46,19903,398878,0
,28,199.44,19889,398479,0
,29,199.44,19889,398479,0
,30,199.44,19889,398479,0
,31,199.42,19876,398081,0
April,1,199.41,19876,398081,0
,2,199.39,19855,397483,0
,3,199.39,19855,397483,0
,4,199.41,19876,398081,0
,5,199.39,19855,397483,0
,6,199.34,19821,396486,0
,7,199.32,19808,396086,0
,8,199.32,19808,396086,0
,9,199.31,19801,395888,0
,10,199.31,19801,395888,0
,11,199.29,19787,395490,0
,12,199.29,19787,395490,0
,13,199.27,19774,395091,0
,14,199.24,19753,394493,0
,15,199.29,19787,395490,0
,16,199.24,19753,394493,0
,17,199.21,19733,393895,0
,18,199.16,19699,392899,0
,19,199.14,19685,392500,0
,20,199.14,19685,392500,0
,21,199.13,19678,392301,0
,22,199.11,19665,391902,0
,23,199.08,19644,391304,0
,24,199.09,19651,391504,0
,25,199.06,19631,390906,0
,26,199.08,19644,391304,0
,27,199.08,19644,391304,0
,28,199.04,19617,390507,0
,29,199.03,19610,390308,0
,30,198.96,19563,388940,0
May,1,198.93,19542,388363,0
,2,198.99,19583,389517,0
,3,198.96,19563,388940,0
,4,198.91,19529,387978,0
,5,198.88,19508,387400,0
,6,198.85,19488,382822,0
,7,198.81,19461,386052,0
,8,198.81,19461,386052,0
,9,198.8,19454,385860,0
,10,198.76,19427,385090,0
,11,198.75,19420,384897,0
,12,198.75,19420,384897,0
,13,198.81,19461,386052,0
,14,198.8,19454,385860,0
,15,198.46,19427,385090,0
,16,198.73,19406,384512,0
,17,198.7,19386,383395,0
,18,198.65,19352,382972,0
,19,198.63,19338,382587,0
,20,198.63,19338,382587,0
,21,198.7,19386,383935,0
,22,198.65,19352,382972,0
,23,198.63,19338,382587,0
,24,198.61,19325,382202,0
,25,198.6,19318,382010,0
,26,198.61,19325,382202,0
,27,198.56,19291,381240,0
,28,198.53,19270,380662,0
,29,198.52,19264,380470,0
,30,198.47,19231,379507,0
,31,198.47,19231,379507,0
June,1,198.47,19231,379507,0
,2,198.47,29231,379507,0
,3,198.43,19205,378737,0
,4,198.42,19199,378545,0
,5,198.4,19186,378160,0
,6,198.38,19173,377775,0
,7,198.35,19154,377197,0
,8,198.33,19141,176812,0
,9,198.32,19135,376620,0
,10,198.28,19109,375850,0
,11,198.25,19090,375272,0
,12,198.23,19077,374887,0
,13,198.22,19071,374695,0
,14,198.19,19052,374117,0
,15,198.15,19026,373347,0
,16,198.14,19020,373155,0
,17,198.1,18994,372385,0
,18,198.05,18962,371422,0
,19,198.04,18956,371230,0
,20,197.97,18911,369902,0
,21,197.95,18898,369529,0
,22,198.04,18956,371230,0
,23,198.09,18988,372192,0
,24,198.05,18962,371422,0
,25,198.04,18956,371230,0
,26,198.02,18943,370848,0
,27,198,18930,370460,0
,28,197.97,18911,369902,0
,29,197.95,18898,369529,0
,30,197.94,18892,369343,0
July,1,197.94,18892,369343,0
,2,197.9,18866,368599,0
,3,197.89,18860,368413,0
,4,197.87,18847,368041,0
,5,197.84,18828,367482,0
,6,197.82,18815,367110,0
,7,197.82,18815,367110,0
,8,197.79,18796,366552,0
,9,197.76,18776,365994,0
,10,197.74,18764,365621,0
,11,197.71,18744,365063,0
,12,197.69,18732,364691,0
,13,197.66,18712,364133,0
,14,197.64,18700,363760,0
,15,197.61,18680,363202,0
,16,197.61,18680,363202,0
,17,197.59,18668,362839,0
,18,197.57,18655,362458,0
,19,197.54,18636,361899,0
,20,197.56,18648,362272,0
,21,197.57,18655,362458,0
,22,197.54,18636,361899,0
,23,197.53,18629,361713,0
,24,197.49,18604,360969,0
,25,197.48,18597,360783,0
,26,197.46,18584,360411,0
,27,197.44,18572,360038,0
,28,197.41,18552,359480,0
,29,197.39,18540,359108,0
,30,197.36,18520,358550,0
,31,197.34,18508,358117,0
August,1,197.34,18508,358177,0
,2,197.31,18488,357619,0
,3,197.28,18469,357061,0
,4,197.26,18456,356689,0
,5,197.21,18424,355758,0
,6,197.2,18418,355572,0
,7,197.18,18405,355200,0
,8,197.15,18386,354641,0
,9,197.11,18360,353897,0
,10,197.08,18341,353339,0
,11,197.05,18322,352780,0
,12,197.03,18309,352408,0
,13,197,18290,351850,0
,14,196.98,18277,351491,0
,15,196.96,18264,351131,0
,16,196.93,18245,350592,153
,17,196.9,18226,350053,307
,18,196.87,18207,349514,460
,19,196.82,18175,348615,460
,20,196.78,18149,347897,460
,21,196.73,18177,346998,460
,22,196.68,18085,346100,460
,23,196.63,18053,345201,460
,24,196.58,18021,344303,460
,25,196.58,18021,344303,460
,26,196.55,18002,343763,460
,27,196.49,17963,342685,460
,28,196.45,17937,341966,460
,29,196.42,17917,341427,460
,30,196.35,17871,340169,460
,31,196.3,17838,339271,460
September,1,196.25,17805,338172,460
,2,196.19,17765,337294,460
,3,196.16,17746,336755,460
,4,196.12,17719,336036,460
,5,196.04,17666,334599,460
,6,195.94,16793,320029,460
,7,195.86,16748,318687,460
,8,195.81,16720,317850,460
,9,195.74,16680,316681,460
,10,195.69,16653,315848,460
,11,195.66,16635,315349,460
,12,195.61,16605,314518,460
,13,195.56,16576,313688,460
,14,195.51,16548,312860,460
,15,195.48,16530,312364,460
,16,195.41,16490,311208,460
,17,195.36,16460,310384,460
,18,195.31,16431,309562,460
,19,195.36,16460,310384,460
,20,195.33,16443,309891,460
,21,195.3,16425,309398,460
,22,195.26,16402,308741,460
,23,195.23,16385,308249,460
,24,195.18,16356,307431,460
,25,195.12,16322,306450,460
,26,195.07,16295,305635,460
,27,194.98,16245,304171,460
,28,194.95,16229,303684,460
,29,194.9,16199,302873,460
,30,194.93,16217,303359,460
October,1,194.87,16181,302387,460
,2,194.8,16142,301256,460
,3,194.75,16114,300450,460
,4,194.7,16084,299645,460
,5,194.65,16056,298841,460
,6,194.59,16022,297879,460
,7,194.54,16993,297078,460
,8,194.49,15962,296280,460
,9,194.46,15943,295801,460
,10,194.57,16010,297559,460
,11,194.54,15993,297078,460
,12,194.49,15962,296280,460
,13,194.47,15949,295961,460
,14,194.42,15917,295164,460
,15,194.37,15885,294369,506
,16,194.34,15867,293892,506
,17,194.29,15838,293100,506
,18,194.34,15867,293892,506
,19,194.19,15779,291819,506
,20,194.09,15723,289984,506
,21,194.04,15696,289158,506
,22,193.99,15668,288375,506
,23,193.89,15613,286810,506
,24,193.94,15641,287592,506
,25,193.93,15635,287435,506
,26,193.93,15635,287435,506
,27,193.91,15624,287123,506
,28,193.91,15624,287123,506
,29,193.91,15624,287123,506
,30,193.91,15624,287123,506
,31,193.64,15478,282924,506
November,1,193.59,15452,282151,506
,2,193.53,15418,281224,506
,3,193.53,15418,281224,506
,4,193.44,15365,279839,506
,5,193.36,15320,278612,506
,6,193,15288,273131,506
,7,193.27,15272,277235,506
,8,193.25,15261,276930,506
,9,193.21,15240,276320,506
,10,193.18,15224,275863,506
,11,193.14,15203,275254,506
,12,193.08,15172,274343,506
,13,193.06,15162,274040,506
,14,193.03,15148,273585,506
,15,192.99,15128,272980,506
,16,192.99,15128,272980,506
,17,192.92,15093,271771,506
,18,192.87,15068,271168,506
,19,192.85,15059,270867,522
,20,192.84,15054,270716,522
,21,192.8,15034,270114,490
,22,192.85,15059,270867,460
,23,192.8,15034,270114,460
,24,192.76,15015,269513,460
,25,192.71,14991,268763,460
,26,192.72,14996,268913,337
,27,192.8,15034,270114,198
,28,192.8,15034,270114,198
,29,192.79,15029,269964,198
,30,192.72,14996,268913,182
December,1,192.7,14986,268613,0
,2,192.68,14977,268463,0
,3,192.68,14977,268463,0
,4,192.77,15020,269664,0
,5,192.84,15054,270716,0
,6,192.82,15044,270415,0
,7,192.81,15039,270265,0
,8,192.74,15006,269213,0
,9,192.72,14996,268913,0
,10,192.72,14996,268913,0
,11,192.7,14986,268913,0
,12,192.68,14977,268314,0
,13,192.68,14977,268314,0
,14,192.68,14977,268913,0
,15,192.68,14977,268314,0
,16,192.74,15006,269213,0
,17,192.72,14996,268913,0
,18,192.7,14986,268613,0
,19,192.68,14977,268314,0
,20,192.75,15010,269363,0
,21,192.79,15029,269964,0
,22,192.96,15113,272526,0
,23,192.98,15123,272828,0
,24,192.96,15113,272526,0
,25,193.05,15157,273888,0
,26,193.05,15157,273888,0
,27,193.05,15157,273888,0
,28,193.05,15157,273888,0
,29,193.05,15157,273888,0
,30,193.05,15157,273888,0
,31,193.05,15157,273888,0
