Lake Conroe,,,https://waterdatafortexas.org/reservoirs/individual/conroe/rating-curve/twdb/2010-08-01
,,,
Elevation,Area,Volume,
(feet above NGVD29),(acres),(acre-feet),
137.8,0.00,0.00,
137.9,0.00,0.00,
138,0.00,0.00,
138.1,0.00,0.00,
138.2,0.00,0.00,
138.3,0.00,0.00,
138.4,0.00,0.00,
138.5,0.01,0.00,
138.6,0.01,0.00,
138.7,0.02,0.00,
138.8,0.04,0.01,
138.9,0.06,0.01,
139,0.09,0.02,
139.1,0.11,0.03,
139.2,0.14,0.04,
139.3,0.18,0.06,
139.4,0.23,0.08,
139.5,0.29,0.10,
139.6,0.36,0.14,
139.7,0.45,0.18,
139.8,0.60,0.23,
139.9,0.79,0.30,
140,0.93,0.38,
140.1,1.05,0.48,
140.2,1.18,0.60,
140.3,1.31,0.72,
140.4,1.43,0.86,
140.5,1.58,1.01,
140.6,1.78,1.18,
140.7,1.97,1.36,
140.8,2.16,1.57,
140.9,2.33,1.79,
141,2.50,2.04,
141.1,2.68,2.30,
141.2,2.86,2.57,
141.3,3.04,2.87,
141.4,3.24,3.18,
141.5,3.44,3.52,
141.6,3.64,3.87,
141.7,3.84,4.24,
141.8,4.07,4.64,
141.9,4.32,5.06,
142,4.59,5.50,
142.1,5.05,5.98,
142.2,5.48,6.51,
142.3,5.85,7.08,
142.4,6.21,7.68,
142.5,6.56,8.32,
142.6,6.89,8.99,
142.7,7.22,9.70,
142.8,7.54,10.43,
142.9,7.81,11.20,
143,8.06,12.00,
143.1,8.33,12.81,
143.2,8.63,13.66,
143.3,8.91,14.54,
143.4,9.20,15.45,
143.5,9.49,16.38,
143.6,9.78,17.34,
143.7,10.08,18.34,
143.8,10.37,19.36,
143.9,10.64,20.41,
144,10.92,21.49,
144.1,11.21,22.59,
144.2,11.51,23.73,
144.3,11.82,24.90,
144.4,12.15,26.09,
144.5,12.53,27.33,
144.6,12.97,28.60,
144.7,13.44,29.92,
144.8,13.89,31.29,
144.9,14.36,32.70,
145,14.86,34.16,
145.1,15.44,35.68,
145.2,16.10,37.25,
145.3,16.71,38.90,
145.4,17.27,40.60,
145.5,17.85,42.35,
145.6,18.46,44.17,
145.7,19.16,46.05,
145.8,19.85,48.00,
145.9,20.53,50.02,
146,21.21,52.10,
146.1,21.92,54.26,
146.2,22.64,56.49,
146.3,23.38,58.79,
146.4,24.21,61.17,
146.5,25.18,63.63,
146.6,26.31,66.21,
146.7,27.86,68.91,
146.8,29.33,71.77,
146.9,30.78,74.78,
147,32.45,77.94,
147.1,34.68,81.29,
147.2,36.90,84.87,
147.3,39.14,88.67,
147.4,41.56,92.70,
147.5,44.04,96.98,
147.6,46.65,101.52,
147.7,49.40,106.32,
147.8,52.12,111.40,
147.9,54.94,116.75,
148,57.92,122.39,
148.1,61.06,128.34,
148.2,64.23,134.60,
148.3,67.45,141.18,
148.4,70.99,148.10,
148.5,74.50,155.38,
148.6,78.03,163.00,
148.7,81.72,170.99,
148.8,85.49,179.35,
148.9,89.44,188.09,
149,93.87,197.26,
149.1,98.79,206.89,
149.2,104.27,217.03,
149.3,110.20,227.75,
149.4,116.62,239.09,
149.5,123.63,251.10,
149.6,131.60,263.86,
149.7,139.83,277.42,
149.8,149.91,291.88,
149.9,161.11,307.43,
150,171.54,324.08,
150.1,181.29,341.74,
150.2,190.94,360.35,
150.3,201.29,379.96,
150.4,211.08,400.58,
150.5,221.07,422.18,
150.6,231.32,444.81,
150.7,242.61,468.49,
150.8,254.31,493.34,
150.9,266.34,519.36,
151,278.69,546.61,
151.1,291.57,575.12,
151.2,305.48,604.96,
151.3,319.87,636.24,
151.4,333.65,668.91,
151.5,347.39,702.96,
151.6,361.29,738.40,
151.7,376.58,775.27,
151.8,392.56,813.73,
151.9,408.85,853.79,
152,425.80,895.53,
152.1,442.62,938.95,
152.2,459.35,984.06,
152.3,476.27,1030.83,
152.4,493.80,1079.34,
152.5,511.22,1129.60,
152.6,528.81,1181.60,
152.7,546.54,1235.37,
152.8,562.66,1290.84,
152.9,578.96,1347.91,
153,594.88,1406.60,
153.1,610.79,1466.90,
153.2,625.35,1528.71,
153.3,639.13,1591.94,
153.4,653.27,1656.56,
153.5,667.30,1722.59,
153.6,681.89,1790.04,
153.7,697.91,1859.01,
153.8,715.36,1929.67,
153.9,733.85,2002.10,
154,752.92,2076.45,
154.1,771.09,2152.64,
154.2,790.78,2230.72,
154.3,811.44,2310.82,
154.4,831.16,2392.97,
154.5,849.01,2476.98,
154.6,865.85,2562.74,
154.7,882.38,2650.16,
154.8,897.42,2739.16,
154.9,912.03,2829.64,
155,925.20,2921.52,
155.1,937.45,3014.67,
155.2,949.13,3108.99,
155.3,960.67,3204.49,
155.4,972.72,3301.14,
155.5,984.80,3399.02,
155.6,997.24,3498.14,
155.7,1009.80,3598.48,
155.8,1023.22,3700.13,
155.9,1036.20,3803.09,
156,1048.98,3907.36,
156.1,1061.69,4012.89,
156.2,1074.61,4119.69,
156.3,1087.97,4227.82,
156.4,1102.23,4337.31,
156.5,1117.66,4448.30,
156.6,1134.50,4560.91,
156.7,1152.30,4675.25,
156.8,1169.10,4791.32,
156.9,1186.90,4909.10,
157,1206.42,5028.75,
157.1,1228.27,5150.49,
157.2,1254.58,5274.57,
157.3,1282.63,5401.47,
157.4,1308.09,5531.00,
157.5,1334.40,5663.12,
157.6,1361.43,5797.89,
157.7,1389.54,5935.39,
157.8,1420.87,6075.94,
157.9,1451.22,6219.52,
158,1475.39,6365.91,
158.1,1498.30,6514.60,
158.2,1522.21,6665.60,
158.3,1547.52,6819.08,
158.4,1570.78,6975.01,
158.5,1592.10,7133.17,
158.6,1614.22,7293.49,
158.7,1637.16,7456.02,
158.8,1661.65,7620.97,
158.9,1686.10,7788.34,
159,1711.38,7958.20,
159.1,1738.23,8130.70,
159.2,1764.16,8305.81,
159.3,1790.48,8483.58,
159.4,1817.24,8663.96,
159.5,1843.70,8847.00,
159.6,1871.43,9032.77,
159.7,1899.92,9221.30,
159.8,1928.00,9412.75,
159.9,1956.07,9606.92,
160,1982.45,9803.86,
160.1,2008.08,10003.40,
160.2,2033.70,10205.50,
160.3,2059.43,10410.14,
160.4,2086.89,10617.40,
160.5,2118.50,10827.66,
160.6,2150.41,11041.09,
160.7,2180.11,11257.63,
160.8,2208.24,11477.07,
160.9,2233.86,11699.17,
161,2257.88,11923.78,
161.1,2282.63,12150.80,
161.2,2308.88,12380.38,
