,2011,,,(GAL),(acre-ft),(MGD),(acre-ft),(MGD),(acre-ft),,acreft_gal
Month,Acre-feet,,Date,SJRA,SJRA pump,Industrial Usage,Industrial Usage,EWPP Usage,EWPP Usage,,325851
January,"5,051",,1/1/11,"49,860,000",153.0147215,27.4,84.09,13.4,41.12,,
February,"4,316",,1/2/11,"54,590,000",167.5305584,25.1,77.03,15.6,47.87,,
March,"4,865",,1/3/11,"54,580,000",167.4998696,25.8,79.18,14.8,45.42,,
April,"5,473",,1/4/11,"55,690,000",170.9063345,25.7,78.87,14.9,45.73,,
May,"6,022",,1/5/11,"54,320,000",166.7019589,28,85.93,12.8,39.28,,
June,"5,706",,1/6/11,"54,660,000",167.7453806,28.6,87.77,12.2,37.44,,
July,"6,290",,1/7/11,"55,110,000",169.1263798,28.4,87.16,12.4,38.05,,
August,"5,940",,1/8/11,"53,760,000",164.983382,27.7,85.01,13.1,40.2,,
September,"5,716",,1/9/11,"49,320,000",151.3575223,25.7,78.87,15.1,46.34,,
October,"5,766",,1/10/11,"47,900,000",146.9997023,24.2,74.27,16.6,50.94,,
November,"4,823",,1/11/11,"45,380,000",139.2661063,24.7,75.8,16,49.1,,
December,"3,948",,1/12/11,"54,580,000",167.4998696,25,76.72,15.6,47.87,,
Totals:,"63,915",,1/13/11,"55,150,000",169.2491353,22.5,69.05,14.6,44.81,,
,,,1/14/11,"48,770,000",149.6696343,30.2,92.68,8.7,26.7,,
,,,1/15/11,"59,790,000",183.4887725,26.1,80.1,13.1,40.2,,
,,,1/16/11,"59,920,000",183.8877278,26,79.79,14.9,45.73,,
,,,1/17/11,"59,840,000",183.6422168,26.5,81.33,14.6,44.81,,
,,,1/18/11,"61,320,000",188.1841701,26.5,81.33,14.5,44.5,,
,,,1/19/11,"56,540,000",173.5148887,27.2,83.47,13.8,42.35,,
,,,1/20/11,"56,490,000",173.3614443,26.2,80.4,14.8,45.42,,
,,,1/21/11,"53,450,000",164.0320269,24.8,76.11,16.1,49.41,,
,,,1/22/11,"55,270,000",169.6174018,25.5,78.26,15.4,47.26,,
,,,1/23/11,"55,360,000",169.8936017,25.4,77.95,15.5,47.57,,
,,,1/24/11,"44,960,000",137.9771736,23.9,73.35,35.7,109.56,,
,,,1/25/11,"51,030,000",156.6053196,24.7,75.8,45.8,140.56,,
