Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
15,381.2,1531,,TWDB
15.01,382.16,1534.82,,Survey
15.02,383.07,1538.64,,12/1/11
15.03,383.94,1542.48,,Vertical
15.04,384.77,1546.32,,NAVD88
15.05,385.59,1550.17,,
15.06,386.41,1554.03,,
15.07,387.24,1557.9,,
15.08,388.1,1561.78,,
15.09,388.95,1565.67,,
15.1,389.77,1569.56,,
15.11,390.58,1573.46,,
15.12,391.37,1577.37,,
15.13,392.16,1581.29,,
15.14,392.94,1585.21,,
15.15,393.71,1589.15,,
15.16,394.47,1593.09,,
15.17,395.23,1597.04,,
15.18,395.98,1600.99,,
15.19,396.74,1604.96,,
15.2,397.49,1608.93,,
15.21,398.26,1612.91,,
15.22,399.02,1616.89,,
15.23,399.78,1620.89,,
15.24,400.55,1624.89,,
15.25,401.32,1628.9,,
15.26,402.11,1632.91,,
15.27,402.91,1636.94,,
15.28,403.73,1640.97,,
15.29,404.58,1645.01,,
15.3,405.44,1649.06,,
15.31,406.29,1653.12,,
15.32,407.13,1657.19,,
15.33,407.95,1661.27,,
15.34,408.76,1665.35,,
15.35,409.56,1669.44,,
15.36,410.37,1673.54,,
15.37,411.26,1677.65,,
15.38,412.07,1681.76,,
15.39,412.86,1685.89,,
15.4,413.64,1690.02,,
15.41,414.41,1694.16,,
15.42,415.17,1698.31,,
15.43,415.92,1702.47,,
15.44,416.67,1706.63,,
15.45,417.43,1710.8,,
15.46,418.18,1714.98,,
15.47,418.94,1719.16,,
15.48,419.7,1723.36,,
15.49,420.47,1727.56,,
15.5,421.23,1731.77,,
15.51,421.99,1735.98,,
15.52,422.76,1740.21,,
15.53,423.53,1744.44,,
15.54,424.3,1748.68,,
15.55,425.07,1752.92,,
15.56,425.84,1757.18,,
15.57,426.61,1761.44,,
15.58,427.39,1765.71,,
15.59,428.17,1769.99,,
15.6,428.95,1774.27,,
15.61,429.74,1778.57,,
15.62,430.51,1782.87,,
15.63,431.28,1787.18,,
15.64,432.05,1791.49,,
15.65,432.82,1795.82,,
15.66,433.6,1800.15,,
15.67,434.37,1804.49,,
15.68,435.15,1808.84,,
15.69,435.94,1813.19,,
15.7,436.73,1817.56,,
15.71,437.52,1821.93,,
15.72,438.32,1826.31,,
15.73,439.12,1830.69,,
15.74,439.93,1835.09,,
15.75,440.81,1839.49,,
15.76,441.74,1843.9,,
15.77,442.63,1848.33,,
15.78,443.5,1852.76,,
15.79,444.36,1857.2,,
15.8,445.21,1861.64,,
15.81,446.07,1866.1,,
15.82,446.93,1870.57,,
15.83,447.8,1875.04,,
15.84,448.68,1879.52,,
15.85,449.56,1884.01,,
15.86,450.41,1888.51,,
15.87,451.25,1893.02,,
15.88,452.12,1897.54,,
15.89,452.99,1902.06,,
15.9,453.84,1906.6,,
15.91,454.69,1911.14,,
15.92,455.51,1915.69,,
15.93,456.32,1920.25,,
15.94,457.13,1924.82,,
15.95,457.94,1929.39,,
15.96,458.75,1933.98,,
15.97,459.57,1938.57,,
15.98,460.38,1943.17,,
15.99,461.2,1947.78,,
16,462.02,1952.39,,
16.01,462.85,1957.02,,
16.02,463.68,1961.65,,
16.03,464.51,1966.29,,
16.04,465.31,1970.94,,
16.05,466.11,1975.6,,
16.06,466.91,1980.26,,
16.07,467.71,1984.93,,
16.08,468.51,1989.62,,
16.09,469.3,1994.3,,
16.1,470.09,1999,,
16.11,470.89,2003.71,,
16.12,471.71,2008.42,,
16.13,472.55,2013.14,,
16.14,473.39,2017.87,,
16.15,474.22,2022.61,,
16.16,475.06,2027.35,,
16.17,475.9,2032.11,,
16.18,476.76,2036.87,,
16.19,477.62,2041.64,,
16.2,478.44,2046.43,,
16.21,479.25,2051.21,,
16.22,480.05,2056.01,,
16.23,480.84,2060.81,,
16.24,481.62,2065.63,,
16.25,482.4,2070.45,,
16.26,483.19,2075.27,,
16.27,483.97,2080.11,,
