,,cfs,cfs,MSL,acres,acre-ft,cfs
,,AVG release (prev 24 hr),AVG inflow (prev 24 hr),ADJ Lake level (MSL),surface_area,reservoir_storage,Discharge gate adj.
January,1,2000,1164,131.15,83700,1754570,0
,2,2000,2418,131.16,83728,1755417,0
,3,2000,1373,131.14,83672,1753723,3000
,4,2667,4655,131.19,83812,1757957,0
,5,3000,5096,131.24,83953,1762192,0
,6,3000,1534,131.21,83869,1759651,0
,7,3000,2581,131.20,83841,1758804,0
,8,3000,1954,131.17,83756,1756264,0
,9,3000,5514,131.23,83925,1761345,4000
,10,3750,2285,131.20,83841,1758804,0
,11,4000,1596,131.14,83672,1753723,0
,12,4000,558,131.06,83446,1746948,2000
,13,2000,2000,131.06,83446,1746948,0
,14,2000,5240,131.14,83672,1753723,4000
,15,4000,6932,131.21,83869,1759651,0
,16,4000,5362,131.24,83953,1762192,5000
,17,4500,2720,131.20,83841,1758804,0
,18,5000,11515,131.35,84263,1771507,0
,19,5000,4055,131.33,84207,1769813,0
,20,5000,6366,131.36,84291,1772354,0
,21,5000,4475,131.35,84263,1771507,0
,22,5000,3635,131.32,84179,1768967,0
,23,5000,5000,131.32,84179,1768967,0
,24,5000,3742,131.25,83982,1763038,0
,25,5000,7624,131.31,84151,1768120,0
,26,5000,2798,131.26,84010,1763885,0
,27,5000,921,131.16,83728,1755417,2000
,28,2000,2837,131.18,83784,1757110,0
,29,2000,1338,131.17,83756,1756264,0
,30,2000,2349,131.18,83784,1757110,0
,31,2000,5775,131.27,84038,1764732,4000
February,1,4000,4000,131.20,83841,1758804,0
,2,4000,4000,131.23,83925,1761345,0
,3,4000,4000,131.16,83728,1755417,2000
,4,2750,2750,131.15,83700,1754570,0
,5,2000,2000,131.10,83559,1750336,0
,6,2000,2000,131.08,83502,1748642,0
,7,2000,2000,131.22,83897,1760498,0
,8,2000,2000,131.13,83643,1752876,0
,9,2000,2000,131.12,83615,1752029,0
,10,2000,2000,131.17,83756,1756264,0
,11,2000,2000,131.19,83812,1757957,0
,12,2000,2000,131.23,83925,1761345,0
,13,2000,2000,131.23,83925,1761345,0
,14,2000,2000,131.25,83982,1763038,0
,15,2000,2000,131.27,84038,1764732,1000
,16,2000,2000,131.29,84094,1766426,0
,17,2000,2000,131.29,84094,1766426,0
,18,2000,2000,131.28,84066,1765579,0
,19,2000,2000,131.28,84066,1765579,0
,20,2000,2000,131.29,84094,1766426,0
,21,2000,2000,131.28,84066,1765579,0
,22,2000,2000,131.27,84038,1764732,0
,23,2000,2000,131.28,84066,1765579,0
,24,2000,2000,131.29,84094,1766426,0
,25,2000,2000,131.27,84038,1764732,0
,26,2000,2000,131.25,83982,1763038,0
,27,2000,2000,131.28,84066,1765579,0
,28,2000,2000,131.24,83953,1762192,0
March,1,2000,1581,131.23,83925,1761345,0
,2,2000,2629,131.25,83982,1763038,0
,3,2000,1895,131.24,83953,1762192,0
,4,2000,2524,131.26,84010,1763885,0
,5,2000,115,131.21,83869,1759651,0
,6,2000,2000,131.21,83869,1759651,0
,7,2000,535,131.18,83784,1757110,0
,8,2000,2942,131.20,83841,1758804,0
,9,2000,2440,131.21,83869,1759651,0
,10,2000,0,131.14,83672,1753723,0
,11,2000,1687,131.13,83643,1752876,0
,12,2000,747,131.10,83559,1750336,0
,13,2000,2000,131.10,83559,1750336,0
,14,2000,1374,131.09,83531,1749489,0
,15,2000,3149,131.12,83615,1752029,1000
,16,1375,0,131.07,83474,1747795,0
,17,1000,1000,131.07,83474,1747795,0
,18,1000,478,131.06,83446,1746948,0
,19,1000,1731,131.08,83502,1748642,0
,20,1000,896,131.07,83474,1747795,0
,21,1000,583,131.06,83446,1746948,0
,22,1000,62,131.04,83390,1745254,0
,23,1000,2461,131.08,83502,1748642,0
,24,1000,687,131.07,83474,1747795,0
,25,1000,0,131.03,83362,1744408,0
,26,1000,1822,131.06,83446,1746948,0
,27,1000,1730,131.07,83474,1747795,0
,28,1000,0,131.04,83390,1745254,0
,29,1000,0,131.01,83305,1742714,0
,30,1000,2251,131.04,83390,1745254,0
,31,1000,0,131.00,83277,1741867,0
April,1,1000,584,130.98,83221,1740230,0
,2,1000,1000,130.98,83221,1740230,0
,3,1000,167,130.96,83164,1738592,0
,4,1000,138,130.94,83108,1736955,0
,5,1000,1000,130.94,83108,1736955,0
,6,1000,0,130.89,82967,1732861,0
