Lake Livingston,,
,,
Elevation,Area,Volume
(feet above NGVD29),(acres),(acre-feet)
59.6,0.00,0.00
60,82.00,16.00
61,161.00,138.00
62,240.00,338.00
63,318.00,617.00
64,397.00,975.00
65,476.00,1411.00
66,554.00,1926.00
67,633.00,2520.00
68,712.00,3192.00
69,790.00,3943.00
70,869.00,4773.00
71,906.00,5660.00
72,943.00,6585.00
73,980.00,7546.00
74,1017.00,8544.00
75,1054.00,9579.00
76,1091.00,10652.00
77,1127.00,11760.00
78,1165.00,12906.00
79,1201.00,14089.00
80,1238.00,15309.00
81,1608.00,16732.00
82,1977.00,18524.00
83,2347.00,20687.00
84,2716.00,23218.00
85,3086.00,26119.00
86,3456.00,29390.00
87,3825.00,33030.00
88,4195.00,37040.00
89,4565.00,41420.00
90,4934.00,46168.00
91,6247.00,51759.00
92,7560.00,58662.00
93,8874.00,66879.00
94,10187.00,76410.00
95,11500.00,87253.00
96,12814.00,99410.00
97,14127.00,112880.00
98,15440.00,127664.00
99,16753.00,143760.00
100,18067.00,161170.00
101,20330.00,180369.00
102,22593.00,201830.00
103,24856.00,225555.00
104,27120.00,251543.00
105,29383.00,279794.00
106,31646.00,310308.00
107,33909.00,343086.00
108,36172.00,378127.00
109,38436.00,415431.00
110,40699.00,454998.00
111,42621.00,696658.00
112,44543.00,540240.00
113,46465.00,585744.00
114,48388.00,633171.00
115,50310.00,682519.00
116,52232.00,733790.00
117,54154.00,786983.00
118,56076.00,842098.00
119,57998.00,899135.00
120,59921.00,958095.00
121,61975.00,1019043.00
122,64028.00,1082044.00
123,66082.00,1147099.00
124,68136.00,1214209.00
125,70190.00,1283372.00
126,72244.00,1354589.00
127,74298.00,1427861.00
128,76352.00,1503186.00
129,78406.00,1580565.00
130,80460.00,1659998.00
131,83277.00,1741867.00
132,86095.00,1826553.00
133,88912.00,1914056.00
134,91730.00,2004377.00
135,94547.00,2097515.00
