# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-06-12 15:51:28 EDT       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08067548 W Fk San Jacinto Rv nr Huntsville, TX",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08067548,,,,
#            TS   parameter     statistic     Description,,,,
"#        173624       00060     00001     Discharge, cubic feet per second (Maximum)",,,,
"#        173625       00060     00002     Discharge, cubic feet per second (Minimum)",,,,
"#        173626       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,ft3/s,
agency_cd,site_no,datetime,173626_00060_00003,
,,,,
USGS,8067548,9/12/09,0.00,
USGS,8067548,9/13/09,0.00,
USGS,8067548,9/14/09,104.00,
USGS,8067548,9/15/09,27.50,
USGS,8067548,9/16/09,4.30,
USGS,8067548,9/17/09,1.73,
USGS,8067548,9/18/09,1.19,
USGS,8067548,9/19/09,0.96,
USGS,8067548,9/20/09,0.81,
USGS,8067548,9/21/09,0.71,
USGS,8067548,9/22/09,0.78,
USGS,8067548,9/23/09,2.16,
USGS,8067548,9/24/09,2.56,
USGS,8067548,9/25/09,2.52,
USGS,8067548,9/26/09,2.29,
USGS,8067548,9/27/09,1.28,
USGS,8067548,9/28/09,1.01,
USGS,8067548,9/29/09,1.30,
USGS,8067548,9/30/09,17.40,
USGS,8067548,10/1/09,4.32,
USGS,8067548,10/2/09,2.34,
USGS,8067548,10/3/09,2.29,
USGS,8067548,10/4/09,58.10,
USGS,8067548,10/5/09,46.70,
USGS,8067548,10/6/09,14.80,
USGS,8067548,10/7/09,7.05,
USGS,8067548,10/8/09,93.50,
USGS,8067548,10/9/09,120.00,
USGS,8067548,10/10/09,818.00,
USGS,8067548,10/11/09,224.00,
USGS,8067548,10/12/09,24.60,
USGS,8067548,10/13/09,246.00,
USGS,8067548,10/14/09,504.00,
USGS,8067548,10/15/09,446.00,
USGS,8067548,10/16/09,75.50,
USGS,8067548,10/17/09,11.90,
USGS,8067548,10/18/09,5.08,
